timestamp_gmt,bid_size,bid,ask,ask_size
2020-04-28 08:00:39,21520,7709.00000000,7709.50000000,7670
2020-04-28 08:00:49,26770,7709.00000000,7709.50000000,3550
2020-04-28 08:00:59,44040,7709.00000000,7709.50000000,150
2020-04-28 08:01:09,22340,7709.00000000,7709.50000000,1150
2020-04-28 08:01:19,21540,7709.00000000,7709.50000000,1150
2020-04-28 08:01:29,20740,7709.00000000,7709.50000000,1150
2020-04-28 08:01:39,1800,7709.00000000,7709.50000000,21650
2020-04-28 08:01:49,1800,7709.00000000,7709.50000000,21650
2020-04-28 08:01:59,14350,7709.00000000,7709.50000000,20150
2020-04-28 08:02:09,20,7707.50000000,7708.00000000,47300
2020-04-28 08:02:19,20,7705.00000000,7706.00000000,64760
2020-04-28 08:02:29,13350,7701.50000000,7702.00000000,25170
2020-04-28 08:02:39,70,7701.00000000,7701.50000000,50300
2020-04-28 08:02:49,4500,7701.00000000,7701.50000000,34720
2020-04-28 08:02:59,11430,7700.50000000,7701.00000000,19740
2020-04-28 08:03:09,1730,7700.50000000,7701.00000000,37440
2020-04-28 08:03:19,31970,7699.50000000,7700.00000000,5520
2020-04-28 08:03:29,1120,7699.00000000,7699.50000000,20300
2020-04-28 08:03:39,20240,7699.00000000,7699.50000000,17000
2020-04-28 08:03:49,20240,7699.00000000,7699.50000000,11800
2020-04-28 08:03:59,18550,7699.50000000,7700.00000000,16970
2020-04-28 08:04:09,10910,7699.50000000,7700.00000000,28370
2020-04-28 08:04:19,30,7699.50000000,7700.00000000,26570
2020-04-28 08:04:29,6170,7699.50000000,7700.00000000,17740
2020-04-28 08:04:39,14300,7699.50000000,7700.00000000,15080
2020-04-28 08:04:49,30630,7699.50000000,7700.00000000,19440
2020-04-28 08:04:59,20440,7699.50000000,7700.00000000,34840
2020-04-28 08:05:09,37240,7699.50000000,7700.00000000,7570
2020-04-28 08:05:19,10270,7699.50000000,7700.00000000,45060
2020-04-28 08:05:29,25930,7697.50000000,7698.00000000,5270
2020-04-28 08:05:39,14960,7697.50000000,7698.00000000,15200
2020-04-28 08:05:49,14270,7698.50000000,7699.00000000,15610
2020-04-28 08:05:59,11530,7698.50000000,7699.00000000,24540
2020-04-28 08:06:09,70,7698.00000000,7698.50000000,77120
2020-04-28 08:06:19,70,7697.00000000,7697.50000000,56620
2020-04-28 08:06:29,70,7697.00000000,7697.50000000,86560
2020-04-28 08:06:39,20,7681.00000000,7681.50000000,46700
2020-04-28 08:06:49,42700,7688.50000000,7689.00000000,45260
2020-04-28 08:06:59,27390,7688.50000000,7689.00000000,17200
2020-04-28 08:07:09,40,7686.00000000,7686.50000000,60620
2020-04-28 08:07:19,40,7686.00000000,7686.50000000,60780
2020-04-28 08:07:29,2760,7686.00000000,7686.50000000,38910
2020-04-28 08:07:39,1040,7686.00000000,7686.50000000,36900
2020-04-28 08:07:49,25210,7686.00000000,7686.50000000,5190
2020-04-28 08:07:59,10240,7685.00000000,7685.50000000,59500
2020-04-28 08:08:09,5960,7685.00000000,7685.50000000,29860
2020-04-28 08:08:19,32920,7684.00000000,7684.50000000,38200
2020-04-28 08:08:29,27570,7684.50000000,7685.00000000,16640
2020-04-28 08:08:39,22640,7684.50000000,7685.00000000,17100
2020-04-28 08:08:49,74460,7685.00000000,7685.50000000,70
2020-04-28 08:08:59,21050,7689.00000000,7689.50000000,21730
2020-04-28 08:09:09,16660,7689.00000000,7689.50000000,25880
2020-04-28 08:10:39,4580,7688.00000000,7688.50000000,33620
2020-04-28 08:10:49,90,7688.00000000,7688.50000000,44430
2020-04-28 08:10:59,29210,7688.00000000,7688.50000000,8370
2020-04-28 08:11:09,24010,7688.00000000,7688.50000000,9970
